 3.55	322	29	["11057","20316","22315","22670","23756","27048","29274","30324","33058","33277","36833","37235","37267","38015","38334","38743","38994","39236","39371","39482","39619","40149","40274","40335","40616","40881","40943","41195","42748"]
 3.70	487	26	["11057","12546","17563","21942","29274","30324","33058","33277","33415","33584","33753","36584","36833","37267","38566","38994","39236","39482","39619","40335","40550","40616","40784","41035","41195","41912"]
 3.87	759	29	["11057","12546","12787","19595","23468","23590","28661","28905","33058","33277","33406","33753","36584","37159","37267","38105","38549","38601","38994","39129","39217","39236","39615","40171","40774","40784","40881","41195","41912"]
 4.09	346	31	["19884","25502","26299","26916","26926","27401","28947","31116","32020","33058","33277","35497","35555","36584","36591","37159","37267","38105","38601","38994","39200","39217","39236","39615","40550","40616","40784","40881","41730","4377","5632"]
 4.24	2140	40	["18571","19170","24715","25098","25586","26916","27401","27674","28919","28920","29534","29680","31116","32020","33058","33277","33472","35497","35555","36115","36116","36584","36591","37143","37144","37267","38994","39217","39615","40171","40550","40616","41644","41685","41692","41726","41805","41912","42973","42976"]
 4.56	551	34	["13912","14607","20559","20874","22032","22996","25968","26799","27390","27401","27674","27958","28578","28632","31116","32020","33058","35497","35555","35758","36584","36591","37267","38105","38252","38781","38994","39124","39797","40750","40784","41325","41684","43004"]
 4.71	602	36	["15714","20559","20874","21013","22594","25968","26389","26476","26799","27390","27401","27958","28578","28876","29645","29657","31116","31309","32020","33058","35497","35758","36584","36794","37267","38105","38608","38781","38994","39615","39797","40750","41325","41726","41809","41810"]
 4.88	222	20	["20874","22594","26476","29645","29657","31116","31309","32020","33454","33753","35497","35758","36584","38608","38994","39615","40784","40881","41726","41809"]
 5.25	1392	28	["10723","20874","22594","23697","26476","26799","27367","27390","27401","29164","29645","31309","32020","32033","32036","32038","32494","34224","35497","37187","37395","38994","39174","39362","39615","40386","40884","42764"]
 5.40	614	23	["10723","15265","20874","22594","24754","26476","27390","27401","28188","29164","31309","32020","34226","34247","35497","36964","37267","37395","38246","38994","39615","40881","41726"]
 5.57	378	23	["13609","15265","24754","26049","26476","27401","29164","29645","31309","32020","32030","32037","33753","34233","34255","35497","35568","37395","38353","38994","39615","40881","41883"]
 5.72	177	24	["23616","24754","26799","27489","27567","27821","29164","29645","31309","32020","32047","33753","34263","35758","36958","37267","37395","38353","38994","39615","40881","41035","41104","41116"]
 5.89	121	23	["20874","21941","23616","24754","27401","27567","27763","27805","29645","31309","32020","33753","35754","35758","36983","37267","37395","38353","38994","39615","40550","40881","41726"]
 6.26	225	21	["21941","22101","23616","24754","27567","29517","31309","32027","32041","33753","35758","37267","37395","37845","38674","38678","39615","40881","41726","41883","9864"]
 6.41	126	28	["21941","23616","24754","25868","26078","27401","27567","27731","27923","27976","29517","29519","29645","31309","32020","32027","32041","35754","35945","37395","39615","40550","40881","41239","41726","41883","42696","9864"]
 6.58	132	27	["11028","20874","21941","23616","24754","26799","27401","27567","29517","29645","31309","32020","33753","35945","37267","37395","38994","39615","40550","40881","41035","41239","41726","41883","42696","4486","9864"]
 6.73	117	18	["11027","18904","21941","23616","24754","27567","27923","29517","31309","32020","35945","37395","39615","40550","40881","41239","41883","4486"]
 7.10	89	16	["11027","21941","22913","24754","26072","27401","29519","31309","35945","37395","38253","39615","40881","41035","4486","9864"]
 7.27	332	18	["11027","21941","22913","27923","29459","29519","29645","31309","32027","3212","35945","37395","38253","38994","41809","41883","4486","9864"]
 7.42	119	21	["11027","13608","20874","21941","22913","24754","24963","27923","29519","31309","32020","32027","35945","37395","38253","38994","39615","39797","41809","4486","9864"]
 7.59	88	19	["11027","13608","24754","24963","26782","27401","27923","29422","29645","31309","32027","35945","37395","38253","38994","39615","40550","4486","9864"]
 7.74	138	24	["11027","15680","20230","24754","24963","26782","26791","27567","27923","29422","29519","31309","32027","35428","35945","37395","38253","38994","39615","39797","41730","42696","4486","9864"]
 8.11	64	20	["11027","20230","20874","21941","24963","25767","27923","28163","29318","29645","31116","32261","34188","34225","35945","37395","38253","38678","39615","41472"]
 8.28	84	21	["11027","20230","20874","21941","2253","24963","27567","27923","29318","32020","32261","35428","35497","35945","37395","38253","39615","39797","41472","41730","9980"]
 8.43	86	16	["11027","20230","20874","21941","2253","27567","27923","27998","28118","32261","35544","35945","37395","38253","38678","39615"]
 8.75	898	25	["11027","18615","19946","20230","20504","20874","21623","2362","2367","2375","24754","24963","25826","28118","28664","32020","32261","37395","38253","38994","39615","40550","41035","4486","9864"]
 8.90	173	19	["20023","20230","20874","24754","24963","25837","27567","27923","27998","28118","29197","31309","32261","35428","35544","37395","38253","4486","9980"]
 9.12	272	22	["13007","20230","24963","25932","28118","28193","29645","32020","32261","32712","340","35546","35945","38253","38994","40881","41104","42928","4486","829","9864","9980"]
 9.29	60	18	["20230","20874","24963","27401","27764","28193","32261","32712","35553","35945","38253","40172","40881","40893","41035","42928","4486","9864"]
 9.44	153	17	["20230","24963","26795","27401","27480","27740","27764","28118","32261","32712","35497","35945","38253","40172","42928","4486","9864"]
 9.76	75	13	["20230","20874","24963","25904","27740","27764","31309","32020","32712","38253","40172","42928","9980"]
 9.91	43	10	["20230","25843","26813","27740","31309","32712","35553","38253","40172","9980"]
