33318	1 33318U 08040G   14365.87149775  .00002233  00000-0  24027-3 0  1032\	2 33318 097.9606 112.4025 0013074 331.1279 028.9214 14.89485028343480
228	1 00228U 62002C   14365.83392023  .00003428  00000-0  31201-3 0  3824\	2 00228 048.4265 215.5524 0015449 086.6873 273.5816 14.97384462835857
3432	1 03432U 68081E   14365.43684773 -.00000051  00000-0  00000+0 0  1602\	2 03432 007.2232 318.5515 0098537 294.4046 222.6430 01.01518458 79489
25110	1 25110U 97083A   14365.79675352 -.00000164  00000-0  00000+0 0  3534\	2 25110 008.4100 049.4607 0005055 211.4315 106.9985 01.00307079 62458
26102	1 26102U 00014A   15001.11254086  .00015539  00000-0  51943-3 0  7862\	2 26102 097.4657 135.0961 0012056 260.7301 147.5731 15.31023517816257
40143	1 40143U 14053A   15001.18817141  .00011801  00000-0  47444-3 0  3961\	2 40143 097.4028 078.6470 0011782 143.1422 301.0517 15.25008919 17546
40144	1 40144U 14053B   15001.09765181  .00005902  00000-0  21592-3 0  3880\	2 40144 097.4019 078.8996 0012043 224.8435 224.6144 15.28374097 17546
27948	1 27948U 03043A   15001.22202774  .00000145  00000-0  10000-3 0  3733\	2 27948 000.5751 080.3682 0000445 131.1394 359.7785 01.00274661 41367
3679	1 03679U 68091AE  14365.84039780  .00001667  00000-0  46893-3 0  2050\	2 03679 062.7570 133.2886 0661737 009.7798 145.4260 13.65454140208886
3827	1 03827U 69025E   14365.86549362  .00001043  00000-0  54726-3 0  4567\	2 03827 104.7658 109.4018 2630412 165.9718 203.1640 09.65832371595156
3900	1 03900U 68097BM  14365.78523627  .00007687  00000-0  11882-2 0  1375\	2 03900 062.2158 201.9867 0436213 122.8307 333.0710 14.25822150285836
3927	1 03927U 61004F   14365.89411124  .00010856  00000-0  31748-2 0  1033\	2 03927 038.9243 292.3250 0508071 030.0467 332.8429 13.88322853537982
28612	1 28612U 66040AB  14365.61333899  .00002454  00000-0  33806-2 0  5337\	2 28612 100.4174 247.1857 0053227 006.7508 021.6605 13.58943879604037
25476	1 25476U 98053B   14365.83391463  .00000727  00000-0  32196-3 0  2932\	2 25476 045.0077 244.7751 0001592 303.2916 102.4535 14.31717534849445
4468	1 04468U 69082FM  14365.74057847  .00000197  00000-0  21539-3 0   854\	2 04468 070.0722 220.4337 0090045 246.5346 242.6795 13.84297323276856
