mmsi,dt,status,vesseltype,sog_mean,sog_min,sog_max,sog_std,count,length,width,draft,vessel,autoencode_loss
368150000,2016-01-30 02:00:00,under way using engine,1025,0.00576923076923077,0.0,0.1,0.023543547789870934,52,46.32999999999997,10.370000000000003,4.300000000000003,tugtow,0.19404484331607819
368150000,2016-01-30 03:00:00,under way using engine,1025,0.00980392156862745,0.0,0.1,0.03003266195850321,51,46.32999999999997,10.370000000000003,4.300000000000003,tugtow,0.19783645868301392
368150000,2016-01-30 04:00:00,under way using engine,1025,0.0019230769230769232,0.0,0.1,0.01386750490563073,52,46.32999999999997,10.370000000000003,4.300000000000003,tugtow,0.15779368579387665
368158000,2015-01-19 16:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,54,45.73000000000001,10.970000000000015,0.0,fishing,0.18416711688041687
368158000,2015-01-19 17:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,45.73000000000001,10.970000000000015,0.0,fishing,0.21266886591911316
368158000,2015-01-19 18:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,54,45.73000000000001,10.970000000000015,0.0,fishing,0.21663948893547058
368158000,2015-01-19 19:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,53,45.73000000000001,10.970000000000015,0.0,fishing,0.18100139498710632
368158000,2015-01-27 11:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,54,45.73000000000001,10.970000000000015,0.0,fishing,0.1652194708585739
368158000,2015-01-27 12:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,45.73000000000001,10.970000000000015,0.0,fishing,0.17071932554244995
368158000,2015-01-27 13:00:00,under way using engine,1001,0.0038461538461538464,0.0,0.1,0.019418390934515434,52,45.73000000000001,10.970000000000015,0.0,fishing,0.15129852294921875
368158000,2017-01-17 03:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,45.73000000000001,10.970000000000015,0.0,fishing,0.1552029401063919
368158000,2017-01-17 04:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,45.73000000000001,10.970000000000015,0.0,fishing,0.15617254376411438
368217000,2015-01-02 01:00:00,undefined,1001,0.0,0.0,0.0,0.0,46,29.019999999999985,7.899999999999996,0.0,fishing,0.17448702454566956
368217000,2015-01-02 02:00:00,undefined,1001,0.0,0.0,0.0,0.0,46,29.019999999999985,7.899999999999996,0.0,fishing,0.1990196853876114
368217000,2015-01-02 03:00:00,undefined,1001,0.002173913043478261,0.0,0.1,0.014744195615489713,46,29.019999999999985,7.899999999999996,0.0,fishing,0.19709528982639313
368217000,2015-01-02 04:00:00,undefined,1001,0.0022222222222222222,0.0,0.1,0.014907119849998596,45,29.019999999999985,7.899999999999996,0.0,fishing,0.16536743938922882
